locus,ratio,std,revRatio,revStd,weightRatio,pepNum,pepNumTotal,specCount,compositeRatio,desc
P48024,1.02679,0.15808,0.94233,0.16048,1.03124,7,7,11,0.89969,Eukaryotic translation initiation factor 1 OS=Mus musculus GN=Eif1 PE=2 SV=2
Q3UY34,0.69698,0.04477,1.36462,0.08266,0.69876,5,5,17,0.73988,Uncharacterized protein C12orf43 homolog OS=Mus musculus PE=2 SV=1
Q9D8X2,0.68488,0.86747,0.92605,0.4113,1.00735,13,13,25,0.91644,Coiled-coil domain-containing protein 124 OS=Mus musculus GN=Ccdc124 PE=2 SV=1
Q8K2T8,0.61126,-1,1.36004,-1,0.64015,32,32,55,0.70302,RNA polymerase II-associated factor 1 homolog OS=Mus musculus GN=Paf1 PE=2 SV=1
Q8VDF2,0.30531,0.27039,0.77053,0.65948,0.59216,46,46,97,0.63664,E3 ubiquitin-protein ligase UHRF1 OS=Mus musculus GN=Uhrf1 PE=1 SV=2
Q3TQI7,0.65782,0.24432,0.88414,0.3412,0.75897,5,5,5,0.78486,Uncharacterized protein C9orf78 homolog OS=Mus musculus PE=1 SV=2
Q8R3Q6,0.89975,0.22885,0.74296,0.35941,0.87251,2,2,2,1.12094,Coiled-coil domain-containing protein 58 OS=Mus musculus GN=Ccdc58 PE=2 SV=1
P26040,0.32844,-1,1.4549,-1,0.3808,30,30,122,0.47492,Ezrin OS=Mus musculus GN=Ezr PE=1 SV=3
P26369,0.59817,0.16191,1.2252,0.24388,0.68011,32,32,71,0.7611,Splicing factor U2AF 65 kDa subunit OS=Mus musculus GN=U2af2 PE=1 SV=3
Q9WUM4,0.30384,-1,1.27356,-1,0.35754,36,36,71,0.58621,Coronin-1C OS=Mus musculus GN=Coro1c PE=1 SV=2
Q63850,0.3787,0.29992,0.51217,0.58238,0.75275,10,10,11,0.87563,Nuclear pore glycoprotein p62 OS=Mus musculus GN=Nup62 PE=1 SV=2
O70492,0.77498,0.05852,1.12118,0.07935,0.77973,4,4,4,1.00837,Sorting nexin-3 OS=Mus musculus GN=Snx3 PE=1 SV=3
Q5NCR9,0.49734,-1,0.77102,-1,0.81066,12,12,32,0.89825,Nuclear speckle splicing regulatory protein 1 OS=Mus musculus GN=Nsrp1 PE=1 SV=1
P60843,0.66579,0.61183,1.09581,0.32305,0.7769,30,30,45,0.85172,Eukaryotic initiation factor 4A-I OS=Mus musculus GN=Eif4a1 PE=1 SV=1
Q9CQJ6,0.58373,0.34435,1.32537,0.406,0.79715,5,5,6,0.85676,Density-regulated protein OS=Mus musculus GN=Denr PE=2 SV=1
P35700,0.51797,-1,1.77259,-1,0.48424,7,7,9,0.45088,Peroxiredoxin-1 OS=Mus musculus GN=Prdx1 PE=1 SV=1
P59999,0.51423,0.13998,1.42663,0.66031,0.49149,8,8,10,0.52549,Actin-related protein 2/3 complex subunit 4 OS=Mus musculus GN=Arpc4 PE=1 SV=3
Q07231,0.45889,0.09854,1.23898,0.15556,0.49514,8,8,14,0.61848,Zinc finger and SCAN domain-containing protein 21 OS=Mus musculus GN=Zscan21 PE=2 SV=2
Q8BL97,0.71617,-1,1.0461,-1,0.7515,58,58,159,0.79322,Serine/arginine-rich splicing factor 7 OS=Mus musculus GN=Srsf7 PE=1 SV=1
O70591,0.00779,-1,0.00277,-1,0.00779,1,1,1,1.31678,Prefoldin subunit 2 OS=Mus musculus GN=Pfdn2 PE=2 SV=2
Q9CWV6,0.17335,-1,0.22797,-1,0.85977,16,16,43,0.91231,PRKR-interacting protein 1 OS=Mus musculus GN=Prkrip1 PE=1 SV=2
P10126,0.65656,-1,1.29739,-1,0.63249,18,18,27,0.72624,Elongation factor 1-alpha 1 OS=Mus musculus GN=Eef1a1 PE=1 SV=3
Q9CYX7,0.14681,-1,0.26234,-1,0.66646,21,21,39,0.82345,RRP15-like protein OS=Mus musculus GN=Rrp15 PE=1 SV=2
Q9R020,0.45832,0.16614,1.00548,0.18845,0.57771,14,14,23,0.77155,Zinc finger Ran-binding domain-containing protein 2 OS=Mus musculus GN=Zranb2 PE=1 SV=2
Q8R1J3,0.96572,0.17054,0.84252,0.21345,0.98379,4,4,6,0.97504,Zinc finger CCHC domain-containing protein 9 OS=Mus musculus GN=Zcchc9 PE=2 SV=1
O54931,0.53277,-1,1.13154,-1,0.64996,37,37,87,0.71711,A-kinase anchor protein 2 OS=Mus musculus GN=Akap2 PE=1 SV=3
Q9ER69,0.3253,0.20663,0.70534,0.51366,0.59097,20,20,40,0.69,Pre-mRNA-splicing regulator WTAP OS=Mus musculus GN=Wtap PE=2 SV=3
Q8VDP2,0.56265,0.08008,1.20154,0.33903,0.60431,6,6,13,0.67761,UPF0428 protein CXorf56 homolog OS=Mus musculus PE=2 SV=1
P26350,1,0,1,0,-1,12,12,31,0.59243,Prothymosin alpha OS=Mus musculus GN=Ptma PE=1 SV=2
P58252,0.47426,0.16216,0.93502,0.55693,0.57469,23,23,42,0.69164,Elongation factor 2 OS=Mus musculus GN=Eef2 PE=1 SV=2
O35691,0.83782,0.3742,0.64784,0.26506,1.03628,37,37,93,1.20877,Pinin OS=Mus musculus GN=Pnn PE=1 SV=4
Q6PAM1,0.54211,0.10719,1.25571,0.16852,0.59088,18,18,38,0.67442,Alpha-taxilin OS=Mus musculus GN=Txlna PE=2 SV=1
Q9DAU1,0.53738,0.3226,0.99113,0.44115,0.68177,4,4,4,0.79701,Protein canopy homolog 3 OS=Mus musculus GN=Cnpy3 PE=1 SV=1
Q9WVA3,0.60247,-1,0.89732,-1,0.71935,34,34,63,0.79276,Mitotic checkpoint protein BUB3 OS=Mus musculus GN=Bub3 PE=2 SV=2
Q9CVB6,0.28111,0.31909,0.60258,0.90528,0.6326,4,4,6,0.70004,Actin-related protein 2/3 complex subunit 2 OS=Mus musculus GN=Arpc2 PE=1 SV=3
Q3TJD7,0.62591,-1,1.17588,-1,0.5732,19,19,26,0.71039,PDZ and LIM domain protein 7 OS=Mus musculus GN=Pdlim7 PE=2 SV=1
Q9CYI4,1.02942,-1,0.75147,-1,1.08422,16,16,26,1.09532,Putative RNA-binding protein Luc7-like 1 OS=Mus musculus GN=Luc7l PE=2 SV=2
O88574,0.18233,-1,0.31387,-1,0.7127,13,13,27,0.84946,Histone deacetylase complex subunit SAP30 OS=Mus musculus GN=Sap30 PE=1 SV=1
Q9D1H8,0.48712,0.19036,0.85931,0.10791,0.57882,5,5,6,0.74804,"39S ribosomal protein L53, mitochondrial OS=Mus musculus GN=Mrpl53 PE=2 SV=1"
P60897,0.39996,-1,0.51679,-1,0.39996,1,1,3,0.92967,26S proteasome complex subunit DSS1 OS=Mus musculus GN=Shfm1 PE=3 SV=1
Q9JJI8,0.6596,0.08009,1.35608,0.10848,0.66888,6,6,6,0.75783,60S ribosomal protein L38 OS=Mus musculus GN=Rpl38 PE=2 SV=3
contaminant_INT-STD1,0.50737,-1,1.43096,-1,0.79934,47,47,107,0.67531,BSA
P62835,0.24618,0.05701,1.59838,0.13019,0.27308,7,7,14,0.43195,Ras-related protein Rap-1A OS=Mus musculus GN=Rap1a PE=2 SV=1
Q99JI6,0.24981,0.06697,1.67168,0.35457,0.30299,7,7,14,0.43195,Ras-related protein Rap-1b OS=Mus musculus GN=Rap1b PE=2 SV=2
Q8R404,0.42636,-1,2.29345,-1,0.42636,1,1,1,0.33936,Protein QIL1 OS=Mus musculus GN=Qil1 PE=2 SV=1
Q9Z0Z7,0.71488,0.13279,1.04638,0.31097,0.73115,6,6,8,0.7743,Krueppel-like factor 5 OS=Mus musculus GN=Klf5 PE=2 SV=2
Q8BX10,0.73915,33.00534,0.48548,0.69865,12.29677,8,8,12,0.62622,"Serine/threonine-protein phosphatase PGAM5, mitochondrial OS=Mus musculus GN=Pgam5 PE=2 SV=1"
Q62167,0.40713,0.0513,1.78529,0.81065,0.40689,5,5,5,0.58388,ATP-dependent RNA helicase DDX3X OS=Mus musculus GN=Ddx3x PE=1 SV=3
Q2VPQ9,0.74886,-1,0.94626,-1,0.89257,12,12,13,1.00938,Chromatin modification-related protein MEAF6 OS=Mus musculus GN=Meaf6 PE=1 SV=1
Q61990,0.59971,-1,1.4115,-1,0.61533,12,12,13,0.61978,Poly(rC)-binding protein 2 OS=Mus musculus GN=Pcbp2 PE=1 SV=1
Q9D0M0,0.47013,0.16487,1.6249,0.01713,0.52866,2,2,2,0.67237,Exosome complex exonuclease RRP42 OS=Mus musculus GN=Exosc7 PE=2 SV=2
Q8BHJ9,0.39877,0.1619,1.17746,0.54629,0.50296,27,27,86,0.61511,Pre-mRNA-splicing factor SLU7 OS=Mus musculus GN=Slu7 PE=1 SV=1
Q9EQU5,0.23003,0.33494,0.86263,0.49538,0.68493,4,4,4,0.8131,Protein SET OS=Mus musculus GN=Set PE=1 SV=1
Q62376,0.94575,-1,0.77946,-1,1.0731,24,24,41,1.12759,U1 small nuclear ribonucleoprotein 70 kDa OS=Mus musculus GN=Snrnp70 PE=1 SV=2
Q8K1J5,0.79378,1.10215,0.76557,0.34571,1.16556,20,20,43,1.06272,Protein SDE2 homolog OS=Mus musculus GN=Sde2 PE=1 SV=1
P02340,0.56738,0.24713,0.86385,0.5075,0.68413,24,24,115,0.8303,Cellular tumor antigen p53 OS=Mus musculus GN=Tp53 PE=1 SV=3
Q9R0E1,0.56896,0.25557,0.84653,0.48494,0.74599,12,12,12,0.78915,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 OS=Mus musculus GN=Plod3 PE=1 SV=1"
Q9QY76,0.49663,0.12722,0.15891,1.24947,0.41485,2,2,2,1.53636,Vesicle-associated membrane protein-associated protein B OS=Mus musculus GN=Vapb PE=2 SV=3
Q91WK0,0.66834,-1,1.07452,-1,0.67477,14,14,20,0.82577,Leucine-rich repeat flightless-interacting protein 2 OS=Mus musculus GN=Lrrfip2 PE=1 SV=1
Q99PT1,0.44365,-1,2.10232,-1,0.19683,2,2,2,2.40026,Rho GDP-dissociation inhibitor 1 OS=Mus musculus GN=Arhgdia PE=1 SV=3
Q9CPQ3,1,-1,1,-1,-1,1,1,1,0.43004,Mitochondrial import receptor subunit TOM22 homolog OS=Mus musculus GN=Tomm22 PE=2 SV=3
Q64433,0.6802,0.04482,1.43027,0.06686,0.68261,5,5,5,0.75545,"10 kDa heat shock protein, mitochondrial OS=Mus musculus GN=Hspe1 PE=1 SV=2"
Q76KJ5,0.74881,0.15735,0.86443,0.28047,0.78494,12,12,37,0.74201,DNA-directed RNA polymerase I subunit RPA34 OS=Mus musculus GN=Cd3eap PE=1 SV=2
P56812,0.48025,0.09411,1.17638,0.09146,0.49756,3,3,5,0.56179,Programmed cell death protein 5 OS=Mus musculus GN=Pdcd5 PE=1 SV=3
P62320,0.95265,0.06372,1.01513,0.06352,0.95575,9,9,17,0.96766,Small nuclear ribonucleoprotein Sm D3 OS=Mus musculus GN=Snrpd3 PE=1 SV=1
Q9WVA2,0.16768,0.4943,0.09929,0.61483,0.73718,2,2,3,1.21759,Mitochondrial import inner membrane translocase subunit Tim8 A OS=Mus musculus GN=Timm8a1 PE=1 SV=1
Q3US17,0.6887,0.1402,0.85589,0.18767,0.75118,9,9,15,0.88795,Zinc finger protein 48 OS=Mus musculus GN=Znf48 PE=1 SV=2
Q9JM76,0.10352,0.28866,0.3973,0.6363,0.57707,6,6,12,0.70932,Actin-related protein 2/3 complex subunit 3 OS=Mus musculus GN=Arpc3 PE=1 SV=3
Q923D4,0.33761,-1,2.20897,-1,0.33761,1,1,1,0.50128,Splicing factor 3B subunit 5 OS=Mus musculus GN=Sf3b5 PE=2 SV=1
Q9CZ83,1.08835,-1,0.59061,-1,1.08835,1,1,1,1.56299,"39S ribosomal protein L55, mitochondrial OS=Mus musculus GN=Mrpl55 PE=2 SV=1"
Q91YE7,0.33534,0.27993,1.50919,17.02145,0.37569,28,28,77,0.4809,RNA-binding protein 5 OS=Mus musculus GN=Rbm5 PE=1 SV=1
Q8K4Z5,0.52543,0.16123,1.51293,0.425,0.56369,32,32,176,0.64776,Splicing factor 3A subunit 1 OS=Mus musculus GN=Sf3a1 PE=1 SV=1
P47962,0.14447,-1,1.22916,-1,0.28367,10,10,12,0.34006,60S ribosomal protein L5 OS=Mus musculus GN=Rpl5 PE=1 SV=3
Q8BLH7,0.45451,-1,1.40163,-1,0.50837,11,11,17,0.64755,HIRA-interacting protein 3 OS=Mus musculus GN=Hirip3 PE=1 SV=1
P47753,0.67597,-1,1.02456,-1,0.68728,11,11,16,0.76539,F-actin-capping protein subunit alpha-1 OS=Mus musculus GN=Capza1 PE=1 SV=4
Reverse_sp|Q61937|NPM_MOUSE,0.52582,-1,1.07014,-1,0.52582,1,1,1,0.63104,Nucleophosmin OS=Mus musculus GN=Npm1 PE=1 SV=1
Q4V9W2,0.87657,0.60961,0.33213,0.24157,1.45719,9,9,20,1.322,Protein SREK1IP1 OS=Mus musculus GN=Srek1ip1 PE=2 SV=1
P52760,0.64008,-1,1.47458,-1,0.64008,1,1,1,0.79556,Ribonuclease UK114 OS=Mus musculus GN=Hrsp12 PE=1 SV=3
P80315,0.57746,-1,1.13984,-1,0.66344,24,24,72,0.80565,T-complex protein 1 subunit delta OS=Mus musculus GN=Cct4 PE=1 SV=3
Q9Z2D6,1.32464,0.70519,0.30284,0.26312,1.81331,18,18,31,2.64819,Methyl-CpG-binding protein 2 OS=Mus musculus GN=Mecp2 PE=1 SV=1
P99024,0.39807,-1,0.41504,-1,2.06038,9,9,10,0.81617,Tubulin beta-5 chain OS=Mus musculus GN=Tubb5 PE=1 SV=1
Q9Z204,0.5767,-1,0.67079,-1,0.7632,35,35,131,0.88604,Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Mus musculus GN=Hnrnpc PE=1 SV=1
P97367,0.58594,0.09955,1.50722,0.34665,0.58694,6,6,6,0.84966,Homeobox protein Meis2 OS=Mus musculus GN=Meis2 PE=1 SV=2
Q9Z2Y8,0.79278,0.00851,0.72398,0.25381,0.79632,4,4,4,0.98298,Proline synthase co-transcribed bacterial homolog protein OS=Mus musculus GN=Prosc PE=1 SV=1
P27661,0.92639,0.53567,0.33152,0.11186,1.45246,4,4,13,1.92688,Histone H2AX OS=Mus musculus GN=H2afx PE=1 SV=2
Q3V1H1,0.36503,-1,1.08009,-1,0.45013,24,24,76,0.6063,Cytoskeleton-associated protein 2 OS=Mus musculus GN=Ckap2 PE=2 SV=1
Q3UEB3,0.48328,0.18149,0.92484,0.54128,0.60499,16,16,40,0.68374,Poly(U)-binding-splicing factor PUF60 OS=Mus musculus GN=Puf60 PE=2 SV=2
Q9JIH2,0.56311,-1,0.64412,-1,0.77046,8,8,9,0.83867,Nuclear pore complex protein Nup50 OS=Mus musculus GN=Nup50 PE=1 SV=3
P70333,0.71783,0.16861,1.09838,0.16442,0.77498,8,8,11,0.95967,Heterogeneous nuclear ribonucleoprotein H2 OS=Mus musculus GN=Hnrnph2 PE=2 SV=1
P63037,0.24751,0.18364,0.71821,0.29597,0.57715,17,17,33,0.78336,DnaJ homolog subfamily A member 1 OS=Mus musculus GN=Dnaja1 PE=1 SV=1
Q8CGC6,0.45855,0.22155,1.29529,0.64964,0.52483,13,13,24,0.66602,RNA-binding protein 28 OS=Mus musculus GN=Rbm28 PE=1 SV=4
Q60596,0.9116,-1,1.00824,-1,1.06005,12,12,14,1.00207,DNA repair protein XRCC1 OS=Mus musculus GN=Xrcc1 PE=1 SV=2
Q91VC3,0.55768,0.17911,1.19386,0.33876,0.65854,12,12,14,0.8032,Eukaryotic initiation factor 4A-III OS=Mus musculus GN=Eif4a3 PE=2 SV=3
Q8K2H1,0.47621,0.26502,0.7798,0.32828,0.64809,27,27,58,0.8601,Periphilin-1 OS=Mus musculus GN=Pphln1 PE=1 SV=1
Q91VM5,-1,-1,-1,-1,1.8486,57,57,121,1.93743,"RNA binding motif protein, X-linked-like-1 OS=Mus musculus GN=Rbmxl1 PE=1 SV=1"
Q9DBU6,0.60761,-1,0.50742,-1,0.599,13,13,29,0.77286,Serine/Arginine-related protein 53 OS=Mus musculus GN=Rsrc1 PE=1 SV=1
O70400,0.70551,0.04891,1.36649,0.12359,0.70604,20,20,20,0.74565,PDZ and LIM domain protein 1 OS=Mus musculus GN=Pdlim1 PE=2 SV=4
P40630,0.35852,-1,2.0896,-1,0.45216,6,6,8,0.4603,"Transcription factor A, mitochondrial OS=Mus musculus GN=Tfam PE=1 SV=2"
Q8VEK3,0.2721,-1,1.98301,-1,0.36234,38,38,102,0.40223,Heterogeneous nuclear ribonucleoprotein U OS=Mus musculus GN=Hnrnpu PE=1 SV=1
Q9WV02,-1,-1,-1,-1,1.75398,52,52,116,1.78054,"RNA-binding motif protein, X chromosome OS=Mus musculus GN=Rbmx PE=1 SV=1"
Q9QUR7,0.69906,0.07092,1.28256,0.23885,0.69694,6,6,15,0.83357,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 OS=Mus musculus GN=Pin1 PE=1 SV=1
Q99JW4,0.32949,0.11388,1.09406,0.51311,0.45541,8,8,14,0.56075,LIM and senescent cell antigen-like-containing domain protein 1 OS=Mus musculus GN=Lims1 PE=1 SV=3
P97351,0.28659,0.10292,1.51123,0.49759,0.37389,8,8,16,0.47885,40S ribosomal protein S3a OS=Mus musculus GN=Rps3a PE=1 SV=3
Q62084,1,-1,1,-1,-1,1,1,1,0.44836,Protein phosphatase 1 regulatory subunit 14B OS=Mus musculus GN=Ppp1r14b PE=1 SV=2
Q9JHJ0,0.60412,0.09153,1.23849,0.12429,0.61895,17,17,26,0.75634,Tropomodulin-3 OS=Mus musculus GN=Tmod3 PE=2 SV=1
Q08093,0.49811,0.17136,1.17303,0.16109,0.59817,8,8,14,0.73752,Calponin-2 OS=Mus musculus GN=Cnn2 PE=1 SV=1
Q9JJW6,0.51775,-1,0.1321,-1,0.26806,2,2,2,0.40941,Aly/REF export factor 2 OS=Mus musculus GN=Alyref2 PE=1 SV=1
P70168,0.30116,0.17713,1.64286,1.17485,0.39121,6,6,6,0.66207,Importin subunit beta-1 OS=Mus musculus GN=Kpnb1 PE=1 SV=2
A2AR02,0.23393,0.49669,0.58457,5.20985,0.96461,13,13,63,0.85829,Peptidyl-prolyl cis-trans isomerase G OS=Mus musculus GN=Ppig PE=2 SV=1
Q921H8,0.3496,-1,0.72015,-1,0.50752,5,5,5,0.80901,"3-ketoacyl-CoA thiolase A, peroxisomal OS=Mus musculus GN=Acaa1a PE=1 SV=1"
P97760,0.77542,0.00515,1.24132,0.03012,0.77533,3,3,3,0.8251,DNA-directed RNA polymerase II subunit RPB3 OS=Mus musculus GN=Polr2c PE=1 SV=1
P62331,0.00143,-1,7.20E-04,-1,0.00143,1,1,1,1.28705,ADP-ribosylation factor 6 OS=Mus musculus GN=Arf6 PE=1 SV=2
Q69ZC8,0.73184,-1,0.402,-1,0.64251,8,8,11,0.80009,GPALPP motifs-containing protein 1 OS=Mus musculus GN=Gpalpp1 PE=1 SV=2
P70441,0.56115,0.01725,1.21635,0.06091,0.56245,2,2,3,0.89878,Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Mus musculus GN=Slc9a3r1 PE=1 SV=3
Q3THK3,0.21379,-1,0.33275,-1,0.62531,18,18,39,0.66911,General transcription factor IIF subunit 1 OS=Mus musculus GN=Gtf2f1 PE=1 SV=2
P14211,0.40893,-1,0.53817,-1,0.54244,18,18,41,0.78069,Calreticulin OS=Mus musculus GN=Calr PE=1 SV=1
Q8CCS6,1.13615,-1,0.85319,-1,1.13615,1,1,1,1.14282,Polyadenylate-binding protein 2 OS=Mus musculus GN=Pabpn1 PE=2 SV=3
Q9D6S7,0.67639,-1,1.26337,-1,0.69307,6,6,12,0.71515,"Ribosome-recycling factor, mitochondrial OS=Mus musculus GN=Mrrf PE=1 SV=1"
Q8C0Y1,0.59299,0.20104,1.08691,0.23578,0.67331,3,3,7,0.83002,Homeobox protein TGIF2 OS=Mus musculus GN=Tgif2 PE=2 SV=1
P63001,0.44946,0.04418,1.92204,0.26028,0.45353,7,7,10,0.51446,Ras-related C3 botulinum toxin substrate 1 OS=Mus musculus GN=Rac1 PE=1 SV=1
Q8CB77,0.63847,-1,0.84746,-1,0.64031,15,15,24,0.7198,Transcription elongation factor B polypeptide 3 OS=Mus musculus GN=Tceb3 PE=1 SV=3
Q9D7S9,0.36758,0.32705,0.36,0.49464,0.75192,5,5,6,0.83693,Charged multivesicular body protein 5 OS=Mus musculus GN=Chmp5 PE=2 SV=1
P97315,0.65626,-1,1.39259,-1,0.43068,2,2,3,0.61855,Cysteine and glycine-rich protein 1 OS=Mus musculus GN=Csrp1 PE=1 SV=3
P16254,0.47208,-1,1.33528,-1,0.47208,1,1,2,0.58967,Signal recognition particle 14 kDa protein OS=Mus musculus GN=Srp14 PE=1 SV=1
Q9QZD9,0.74342,-1,0.79094,-1,0.89638,10,10,11,0.98487,Eukaryotic translation initiation factor 3 subunit I OS=Mus musculus GN=Eif3i PE=1 SV=1
Q9CR02,0.89074,-1,0.71956,-1,1.43641,6,6,7,0.78903,Translation machinery-associated protein 16 OS=Mus musculus GN=Tma16 PE=2 SV=1
P62242,0.49579,0.10934,1.37943,0.30235,0.52388,13,13,24,0.71251,40S ribosomal protein S8 OS=Mus musculus GN=Rps8 PE=1 SV=2
Q8BZR9,0.47856,-1,1.19257,-1,0.46207,13,13,29,0.65508,Uncharacterized protein C17orf85 homolog OS=Mus musculus PE=2 SV=1
Q9WV55,0.27428,0.15076,1.07694,0.63587,0.4556,18,18,45,0.5163,Vesicle-associated membrane protein-associated protein A OS=Mus musculus GN=Vapa PE=1 SV=2
Q9DAK9,0.62429,-1,1.306,-1,0.62429,1,1,1,0.68388,14 kDa phosphohistidine phosphatase OS=Mus musculus GN=Phpt1 PE=2 SV=1
P11499,0.63336,-1,1.56052,-1,0.69783,8,8,8,0.49721,Heat shock protein HSP 90-beta OS=Mus musculus GN=Hsp90ab1 PE=1 SV=3
P27773,0.61464,0.72469,0.90141,0.5471,0.72433,13,13,13,0.75245,Protein disulfide-isomerase A3 OS=Mus musculus GN=Pdia3 PE=1 SV=2
Q8R0K4,2.86013,0.83618,0.28134,0.11812,3.03562,16,16,26,3.33752,Coiled-coil domain-containing protein 137 OS=Mus musculus GN=Ccdc137 PE=2 SV=1
Q9R1P4,0.61827,-1,1.053,-1,0.60966,11,11,22,0.63832,Proteasome subunit alpha type-1 OS=Mus musculus GN=Psma1 PE=1 SV=1
Q9R0P5,0.46567,-1,0.81322,-1,0.82523,7,7,7,0.74172,Destrin OS=Mus musculus GN=Dstn PE=1 SV=3
Q3TMW1,0.45968,0.16894,0.94214,0.21303,0.59407,11,11,19,0.78571,Coiled-coil domain-containing protein 102A OS=Mus musculus GN=Ccdc102a PE=2 SV=2
"P68369,P05213,P68373",0.53997,0.3685,0.96206,0.40194,0.72703,11,11,11,0.77354,Tubulin alpha-1A chain OS=Mus musculus GN=Tuba1a PE=1 SV=1 @Tubulin alpha-1B chain OS=Mus musculus GN=Tuba1b PE=1 SV=2 @Tubulin alpha-1C chain OS=Mus musculus GN=Tuba1c PE=1 SV=1
Q8K2A1,0.32573,0.04825,0.9143,0.56732,0.37379,5,5,7,0.70945,PTB domain-containing engulfment adapter protein 1 OS=Mus musculus GN=Gulp1 PE=1 SV=1
P68254,0.4813,0.23735,0.94063,0.53015,0.67311,5,5,6,0.68255,14-3-3 protein theta OS=Mus musculus GN=Ywhaq PE=1 SV=1
P01887,0.50528,0.70847,0.47393,0.72081,0.66252,2,2,4,0.92444,Beta-2-microglobulin OS=Mus musculus GN=B2m PE=1 SV=2
Q9JKX4,0.70107,-1,1.01099,-1,0.72665,11,11,12,0.83008,Protein AATF OS=Mus musculus GN=Aatf PE=1 SV=1
Q9QYS9,1.12102,0.56352,0.74963,0.51704,1.1093,2,2,2,1.08753,Protein quaking OS=Mus musculus GN=Qki PE=1 SV=1
P68510,0.64101,-1,1.47535,-1,0.61713,9,9,10,0.62961,14-3-3 protein eta OS=Mus musculus GN=Ywhah PE=1 SV=2
Q9D8Y0,1.72619,8.76462,0.39322,0.40999,3.44839,12,12,40,1.1451,EF-hand domain-containing protein D2 OS=Mus musculus GN=Efhd2 PE=1 SV=1
P28574,0.77651,0.6417,1.12626,0.52953,0.90881,4,4,10,0.69406,Protein max OS=Mus musculus GN=Max PE=1 SV=1
P62313,0.57054,0,1.16709,0,0.57054,2,2,8,0.7562,U6 snRNA-associated Sm-like protein LSm6 OS=Mus musculus GN=Lsm6 PE=3 SV=1
Q8C854,0.6366,-1,1.24158,-1,0.68777,35,35,78,0.68435,Myelin expression factor 2 OS=Mus musculus GN=Myef2 PE=1 SV=1
P09103,0.2108,-1,0.82027,-1,0.57451,15,15,17,0.55889,Protein disulfide-isomerase OS=Mus musculus GN=P4hb PE=1 SV=2
Reverse_sp|Q9JI46|NUDT3_MOUSE,0.73765,-1,0.04157,-1,0.73765,1,1,1,1.57057,Diphosphoinositol polyphosphate phosphohydrolase 1 OS=Mus musculus GN=Nudt3 PE=1 SV=1
Q9JIX0,0.58536,0.01696,1.24888,0.14461,0.58859,4,4,10,0.58111,Transcription and mRNA export factor ENY2 OS=Mus musculus GN=Eny2 PE=2 SV=1
P46061,0.49221,-1,0.98488,-1,0.67266,19,19,34,0.65988,Ran GTPase-activating protein 1 OS=Mus musculus GN=Rangap1 PE=1 SV=2
Q9DAW9,0.47966,0.18747,1.43747,0.66784,0.56139,5,5,6,0.73419,Calponin-3 OS=Mus musculus GN=Cnn3 PE=1 SV=1
P84099,0.15473,0.14209,1.07545,0.56255,0.36818,10,10,20,0.4052,60S ribosomal protein L19 OS=Mus musculus GN=Rpl19 PE=1 SV=1
O54790,0.88881,0.17156,0.45092,0.31022,1.02591,4,4,8,1.46491,Transcription factor MafG OS=Mus musculus GN=Mafg PE=1 SV=1
P62889,1,-1,1,-1,-1,1,1,1,5.73488,60S ribosomal protein L30 OS=Mus musculus GN=Rpl30 PE=2 SV=2
Q6NVF9,0.65572,0.08773,1.13205,0.18526,0.68386,23,23,58,0.82681,Cleavage and polyadenylation specificity factor subunit 6 OS=Mus musculus GN=Cpsf6 PE=2 SV=1
Q91XC8,0.61909,-1,1.21066,-1,0.61909,1,1,1,0.4297,Death-associated protein 1 OS=Mus musculus GN=Dap PE=1 SV=3
"Q9Z172,P61957",0.39397,0.55277,1.15756,0.65998,1.0005,3,3,7,1.09632,Small ubiquitin-related modifier 3 OS=Mus musculus GN=Sumo3 PE=2 SV=1 @Small ubiquitin-related modifier 2 OS=Mus musculus GN=Sumo2 PE=1 SV=1
Q8BK67,0.25434,-1,0.65307,-1,0.59504,27,27,54,0.61777,Protein RCC2 OS=Mus musculus GN=Rcc2 PE=1 SV=1
Q9JIY5,0.30623,0.15158,1.02695,0.86703,0.43843,4,4,4,0.61752,"Serine protease HTRA2, mitochondrial OS=Mus musculus GN=Htra2 PE=1 SV=2"
Q60973,0.63104,0.33325,1.04035,0.91708,0.58907,2,2,2,0.91848,Histone-binding protein RBBP7 OS=Mus musculus GN=Rbbp7 PE=1 SV=1
Q9JIW9,0.21924,0.08427,3.27776,1.20035,0.2436,4,4,4,0.31811,Ras-related protein Ral-B OS=Mus musculus GN=Ralb PE=2 SV=1
O35326,1.61062,0.36892,0.30102,0.10642,1.73867,5,5,6,1.09971,Serine/arginine-rich splicing factor 5 OS=Mus musculus GN=Srsf5 PE=1 SV=2
P45591,0.4652,0.13931,0.97314,0.22887,0.54731,5,5,13,0.857,Cofilin-2 OS=Mus musculus GN=Cfl2 PE=1 SV=1
Q61316,0.43983,0.13599,1.57022,0.44461,0.5272,15,15,23,0.60304,Heat shock 70 kDa protein 4 OS=Mus musculus GN=Hspa4 PE=1 SV=1
