PLINE,LOCUS,AVERAGE_RATIO,AVERAGE_RATIO_REV,STANDARD_DEVIATION,STANDARD_DEVIATION_REV,COMPOSITE_RATIO,COMPOSITE_RATIO_STANDARD_DEVIATION,WEIGHTED_AVERAGE,LOG_INV_AVERAGE,LOG_INV_AVERAGE_REV,PEPTIDE_NUM,TOTAL_PEPTIDE_NUM,SPEC_COUNT,AREA_RATIO,DESCRIPTION
P,A0A1L1SU37,0.53195,0.60684,NA,NA,0.88685,1.34407,0.82973,0.53195,0.60684,38,38,111,1.069988605,Pyruvate kinase PKM (Fragment) OS=Mus musculus OX=10090 GN=Pkm PE=1 SV=1 
P,P34022,0.49956,0.48938,NA,NA,0.97703,1.33275,0.84335,0.49956,0.48938,29,29,72,1.122830444,Ran-specific GTPase-activating protein OS=Mus musculus OX=10090 GN=Ranbp1 PE=1 SV=2 
P,P97315,0.33746,0.34364,NA,NA,0.96744,1.33714,0.56271,0.33746,0.34364,46,46,100,1.056587683,Cysteine and glycine-rich protein 1 OS=Mus musculus OX=10090 GN=Csrp1 PE=1 SV=3 
P,A0A1Y7VL93,0.57463,0.45156,NA,NA,1.11158,2.30559,1.1642,0.57463,0.45156,11,11,18,1.053203254,Ras-related protein Ral-A (Fragment) OS=Mus musculus OX=10090 GN=Rala PE=1 SV=1 
P,Q6A068,0.67991,0.73965,NA,NA,0.93675,1.60457,0.91606,0.67991,0.73965,134,134,327,1.210589147,Cell division cycle 5-like protein OS=Mus musculus OX=10090 GN=Cdc5l PE=1 SV=2 
P,A0A1L1SST0,0.48849,0.52498,0.2697,0.2525,1.04622,1.3596,0.67907,0.48849,0.52498,57,57,228,1.159100503,Peptidyl-prolyl cis-trans isomerase OS=Mus musculus OX=10090 GN=Ppia PE=1 SV=1 
P,A0A140LJ68,0.76967,0.93186,0.33572,0.37088,0.91894,1.33985,0.88676,0.76967,0.93186,14,14,30,0.955851088,Protein arginine N-methyltransferase 1 OS=Mus musculus OX=10090 GN=Prmt1 PE=1 SV=1 
P,A0A1B0GSL4,0.90975,0.68303,NA,NA,1.13407,1.27238,1.15236,0.90975,0.68303,9,9,18,1.13601878,Rho-related GTP-binding protein RhoG (Fragment) OS=Mus musculus OX=10090 GN=Rhog PE=1 SV=1 
P,A2AM65,0.38528,0.38966,NA,NA,1.02132,1.31762,0.82012,0.38528,0.38966,46,46,106,1.105926825,Heterochromatin protein 1-binding protein 3 (Fragment) OS=Mus musculus OX=10090 GN=Hp1bp3 PE=1 SV=1 
P,F6Z2C0,0.749,1.08034,NA,NA,0.80267,1.51293,0.7915,0.749,1.08034,56,56,134,1.025358175,Filamin-A (Fragment) OS=Mus musculus OX=10090 GN=Flna PE=1 SV=8 
P,A0A0G2JDG8,0.89199,0.72796,0.22929,0.20497,1.13188,1.20759,1.02489,0.89199,0.72796,14,14,22,1.199059976,Integrator complex subunit 1 (Fragment) OS=Mus musculus OX=10090 GN=Ints1 PE=1 SV=1 
P,F6Q404,0.50086,0.44063,NA,NA,1.18377,1.12327,0.94509,0.50086,0.44063,34,34,94,1.160490924,Protein disulfide-isomerase A3 (Fragment) OS=Mus musculus OX=10090 GN=Pdia3 PE=1 SV=1 
P,P61957,0.43433,0.68092,0.27135,0.31658,0.86263,1.67604,0.79397,0.43433,0.68092,20,20,86,0.785914847,Small ubiquitin-related modifier 2 OS=Mus musculus OX=10090 GN=Sumo2 PE=1 SV=1 
P,Q91WK2,0.46016,0.42576,NA,NA,1.06484,1.49028,0.84202,0.46016,0.42576,71,71,129,1.275827796,Eukaryotic translation initiation factor 3 subunit H OS=Mus musculus OX=10090 GN=Eif3h PE=1 SV=1 
P,Q9D031,0.83381,0.7425,NA,NA,1.05046,1.38391,0.95615,0.83381,0.7425,33,33,91,1.178034781,Ras suppressor protein 1 OS=Mus musculus OX=10090 GN=Rsu1 PE=1 SV=1 
P,A2AUR7,0.83381,0.7425,�,�,1.05046,1.38391,0.95615,0.83381,0.7425,33,33,91,1.178034781,Ras suppressor protein 1 OS=Mus musculus OX=10090 GN=Rsu1 PE=1 SV=1 
P,Q80ZP8,0.5204,0.48878,NA,NA,1.02357,1.32057,0.88094,0.5204,0.48878,53,53,215,1.140454186,Armet protein OS=Mus musculus OX=10090 GN=Manf PE=1 SV=1 
P,P35979,0.71525,0.59544,0.34722,0.2923,1.15028,1.3546,0.92232,0.71525,0.59544,66,66,190,1.275427168,60S ribosomal protein L12 OS=Mus musculus OX=10090 GN=Rpl12 PE=1 SV=2 
P,A0A338P702,0.28782,1.62652,0.2606,41.01905,1.03645,15.48268,0.72259,0.28782,1.62652,8,8,22,1.036697671,Ubiquitin-conjugating enzyme E2 L3 OS=Mus musculus OX=10090 GN=Ube2l3 PE=1 SV=1 
P,A2AV19,0.46265,0.57255,0.2848,0.25761,0.89917,1.51835,0.7873,0.46265,0.57255,18,18,38,0.989187373,Exosome complex component RRP4 (Fragment) OS=Mus musculus OX=10090 GN=Exosc2 PE=1 SV=1 
P,Q8BHG9,0.65302,0.82207,0.26265,0.29294,0.9822,1.24496,0.79873,0.65302,0.82207,21,21,45,0.921114497,CGG triplet repeat-binding protein 1 OS=Mus musculus OX=10090 GN=Cggbp1 PE=1 SV=1 
P,A0A0N4SUM2,0.52368,0.72685,0.27663,0.34335,0.9221,1.33998,0.69387,0.52368,0.72685,101,101,316,0.980403279,Heterogeneous nuclear ribonucleoproteins A2/B1 (Fragment) OS=Mus musculus OX=10090 GN=Hnrnpa2b1 PE=1 SV=1 
P,A0A0A0MQM3,0.76737,0.79734,NA,NA,1.00021,1.17161,0.7605,0.76737,0.79734,7,7,15,1.03529499,NADH-cytochrome b5 reductase 3 (Fragment) OS=Mus musculus OX=10090 GN=Cyb5r3 PE=1 SV=6 
P,A0A1D5RM55,0.58292,0.49432,NA,NA,1.08913,1.14574,0.8879,0.58292,0.49432,14,14,28,1.149221196,Casein kinase II subunit alpha' (Fragment) OS=Mus musculus OX=10090 GN=Csnk2a2 PE=1 SV=1 
P,Q8K224,0.57425,0.72071,NA,NA,0.90545,1.55756,0.79011,0.57425,0.72071,167,167,349,0.980250374,RNA cytidine acetyltransferase OS=Mus musculus OX=10090 GN=Nat10 PE=1 SV=1 
P,Q61029,0.61496,0.63347,NA,NA,0.99439,1.31128,0.86053,0.61496,0.63347,156,156,645,1.052827182,"Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma OS=Mus musculus OX=10090 GN=Tmpo PE=1 SV=4 "
P,P08752,0.7562,0.73624,NA,NA,0.98169,1.58936,0.93076,0.7562,0.73624,64,64,240,1.261654604,Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Mus musculus OX=10090 GN=Gnai2 PE=1 SV=5 
P,P61205,0.5544,0.84251,0.21513,0.26385,0.86413,1.33556,0.71471,0.5544,0.84251,20,20,30,0.886479494,ADP-ribosylation factor 3 OS=Mus musculus OX=10090 GN=Arf3 PE=2 SV=2 
P,Q9CZX8,0.28378,0.32288,NA,NA,1.13777,3.10366,0.81364,0.28378,0.32288,61,61,147,1.185426753,40S ribosomal protein S19 OS=Mus musculus OX=10090 GN=Rps19 PE=1 SV=3 
P,D3YWA4,0.57048,0.66077,0.25671,0.25165,0.95064,1.14543,0.77437,0.57048,0.66077,10,10,34,1.001386802,PEST proteolytic signal-containing nuclear protein OS=Mus musculus OX=10090 GN=Pcnp PE=1 SV=1 
P,P14148,0.55327,0.58367,NA,NA,1.06819,2.26956,0.80671,0.55327,0.58367,90,90,287,1.093256501,60S ribosomal protein L7 OS=Mus musculus OX=10090 GN=Rpl7 PE=1 SV=2 
P,P62245,0.54572,0.46085,0.48409,0.30089,1.11095,1.31614,1.07614,0.54572,0.46085,23,23,66,1.249328863,40S ribosomal protein S15a OS=Mus musculus OX=10090 GN=Rps15a PE=1 SV=2 
P,A0A0A6YY39,0.90228,0.79083,0.15949,0.14878,1.01798,1.23899,0.91718,0.90228,0.79083,19,19,39,1.091600565,Far upstream element (FUSE)-binding protein 3 (Fragment) OS=Mus musculus OX=10090 GN=Fubp3 PE=1 SV=1 
P,A0A0U1RP18,0.50224,0.58884,0.45278,0.32962,0.94184,1.59889,0.90783,0.50224,0.58884,10,10,18,1.212035187,U4/U6.U5 tri-snRNP-associated protein 2 (Fragment) OS=Mus musculus OX=10090 GN=Usp39 PE=1 SV=1 
P,Q3UMP4,0.60434,0.41168,NA,NA,1.23124,1.53148,1.16381,0.60434,0.41168,75,75,144,1.328629244,Plasminogen activator inhibitor 1 RNA-binding protein OS=Mus musculus OX=10090 GN=Serbp1 PE=1 SV=1 
P,F2Z499,0.8702,0.7904,0.22493,0.204,1.07755,1.22275,1.01975,0.8702,0.7904,28,28,50,1.073972229,Prolyl 3-hydroxylase 1 OS=Mus musculus OX=10090 GN=P3h1 PE=1 SV=1 
P,D3YZX3,0.47563,0.52782,NA,NA,0.9734,1.20952,0.82206,0.47563,0.52782,73,73,213,0.996297128,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Mus musculus OX=10090 GN=Gnb2 PE=1 SV=1 
P,Q8VDF2,0.64313,0.69013,NA,NA,0.93723,1.73548,0.82875,0.64313,0.69013,109,109,250,1.108683714,E3 ubiquitin-protein ligase UHRF1 OS=Mus musculus OX=10090 GN=Uhrf1 PE=1 SV=2 
P,Q5SX75,0.83344,0.67264,NA,NA,1.10237,1.23645,1.01221,0.83344,0.67264,59,59,150,1.15698635,"Procollagen-proline, 2-oxoglutarate 4-dioxygenase (Proline 4-hydroxylase), alpha II polypeptide, isoform CRA_f OS=Mus musculus OX=10090 GN=P4ha2 PE=1 SV=1 "
P,Q60716,0.83344,0.67264,�,�,1.10237,1.23645,1.01221,0.83344,0.67264,59,59,150,1.15698635,Prolyl 4-hydroxylase subunit alpha-2 OS=Mus musculus OX=10090 GN=P4ha2 PE=1 SV=1 
P,A0A087WRA1,0.45565,0.54952,NA,NA,0.93342,1.16788,0.81783,0.45565,0.54952,36,36,127,0.913135692,Actin-related protein 3 (Fragment) OS=Mus musculus OX=10090 GN=Actr3 PE=1 SV=1 
P,P52927,0.81935,0.84828,NA,NA,1.03451,1.20381,0.92978,0.81935,0.84828,53,53,235,1.038215597,High mobility group protein HMGI-C OS=Mus musculus OX=10090 GN=Hmga2 PE=1 SV=1 
P,F7CVJ5,1.03161,0.78841,NA,NA,1.14708,1.49944,1.06933,1.03161,0.78841,26,26,82,1.499664005,AHNAK nucleoprotein 2 (Fragment) OS=Mus musculus OX=10090 GN=Ahnak2 PE=1 SV=1 
P,Q3TJ56,0.6403,0.62987,NA,NA,0.97565,1.41792,0.93051,0.6403,0.62987,100,100,273,1.043639281,Staphylococcal nuclease domain-containing protein 1 OS=Mus musculus OX=10090 GN=Snd1 PE=1 SV=1 
P,Q8CI11,0.65203,0.71708,NA,NA,0.95699,1.46815,0.87789,0.65203,0.71708,97,97,226,1.215513402,Guanine nucleotide-binding protein-like 3 OS=Mus musculus OX=10090 GN=Gnl3 PE=1 SV=2 
P,Q9CZU6,0.73696,0.68312,NA,NA,1.0412,1.44135,0.98525,0.73696,0.68312,109,109,331,1.135622278,"Citrate synthase, mitochondrial OS=Mus musculus OX=10090 GN=Cs PE=1 SV=1 "
P,A0A0J9YVJ6,0.70872,0.71877,NA,NA,0.97478,1.16607,0.89384,0.70872,0.71877,42,42,84,1.015089268,Bifunctional polynucleotide phosphatase/kinase OS=Mus musculus OX=10090 GN=Pnkp PE=1 SV=1 
P,O88796,0.7043,0.79681,0.21514,0.31278,0.91651,1.30122,0.79683,0.7043,0.79681,44,44,115,1.021555474,Ribonuclease P protein subunit p30 OS=Mus musculus OX=10090 GN=Rpp30 PE=1 SV=1 
P,G3UZ07,0.54182,0.58316,NA,NA,0.99822,1.54693,0.91543,0.54182,0.58316,205,205,1963,1.233920616,"Actin, cytoplasmic 2 (Fragment) OS=Mus musculus OX=10090 GN=Actg1 PE=1 SV=1 "
P,Q9CQE8,0.58837,0.53858,NA,NA,1.05342,1.6971,0.98534,0.58837,0.53858,43,43,97,1.229506409,"RNA transcription, translation and transport factor protein OS=Mus musculus OX=10090 GN=RTRAF PE=1 SV=1 "
P,P14131,0.501,0.64226,NA,NA,0.97325,1.4752,0.73019,0.501,0.64226,50,50,107,0.961528478,40S ribosomal protein S16 OS=Mus musculus OX=10090 GN=Rps16 PE=1 SV=4 
P,P62876,0.44399,0.47688,0.28746,0.32224,1.04374,1.11001,0.798,0.44399,0.47688,8,8,11,1.032979422,"DNA-directed RNA polymerases I, II, and III subunit RPABC5 OS=Mus musculus OX=10090 GN=Polr2l PE=3 SV=1 "
P,H3BJX5,0.49136,0.62139,0.08078,0.23758,0.97636,1.21114,0.55738,0.49136,0.62139,6,6,12,1.058944915,General transcription factor 3C polypeptide 5 OS=Mus musculus OX=10090 GN=Gtf3c5 PE=1 SV=1 
P,Q9CZW5,0.61124,0.44828,NA,NA,1.17973,1.60657,1.05692,0.61124,0.44828,73,73,217,1.508955867,Mitochondrial import receptor subunit TOM70 OS=Mus musculus OX=10090 GN=Tomm70 PE=1 SV=2 
P,Q9D0M0,0.67251,0.72832,0.24707,0.2435,0.9197,1.3298,0.84517,0.67251,0.72832,34,34,61,1.01868301,Exosome complex exonuclease RRP42 OS=Mus musculus OX=10090 GN=Exosc7 PE=1 SV=2 
P,D3Z7N3,0.36421,0.45486,NA,NA,0.95862,1.36236,0.7867,0.36421,0.45486,59,59,146,0.984336919,Cell growth-regulating nucleolar protein (Fragment) OS=Mus musculus OX=10090 GN=Lyar PE=1 SV=1 
P,D3Z345,0.36421,0.45486,�,�,0.95862,1.36236,0.7867,0.36421,0.45486,59,59,146,0.984336919,Cell growth-regulating nucleolar protein (Fragment) OS=Mus musculus OX=10090 GN=Lyar PE=1 SV=1 
P,P60766,0.87889,0.78271,NA,NA,1.13242,1.18221,0.96907,0.87889,0.78271,35,35,132,1.146164045,Cell division control protein 42 homolog OS=Mus musculus OX=10090 GN=Cdc42 PE=1 SV=2 
P,F7AEH4,0.34789,0.35594,NA,NA,1.04829,1.53687,0.75298,0.34789,0.35594,72,72,182,1.365314542,40S ribosomal protein S12 OS=Mus musculus OX=10090 GN=Rps12 PE=1 SV=1 
P,A0A1W2P7A1,0.34789,0.35594,�,�,1.04829,1.53687,0.75298,0.34789,0.35594,72,72,182,1.365314542,40S ribosomal protein S12 OS=Mus musculus OX=10090 GN=Rps12 PE=1 SV=1 
P,Q6ZWZ6,0.34789,0.35594,�,�,1.04829,1.53687,0.75298,0.34789,0.35594,72,72,182,1.365314542,40S ribosomal protein S12 OS=Mus musculus OX=10090 GN=Rps12-ps3 PE=1 SV=1 
P,A2ACG7,0.51968,0.65358,0.27781,0.36369,0.92111,1.29281,0.80267,0.51968,0.65358,61,61,142,0.973546343,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Mus musculus OX=10090 GN=Rpn2 PE=1 SV=1 
P,G8JL51,0.63149,0.63283,0.77492,0.34956,0.91051,1.72224,0.93422,0.63149,0.63283,33,33,69,1.330743739,DNA-directed RNA polymerase I subunit RPA49 (Fragment) OS=Mus musculus OX=10090 GN=Polr1e PE=1 SV=1 
P,Q922V4,0.62678,0.77636,NA,NA,0.8846,1.42944,0.90234,0.62678,0.77636,72,72,162,1.033563269,Pleiotropic regulator 1 OS=Mus musculus OX=10090 GN=Plrg1 PE=1 SV=1 
P,P97304,0.70815,0.80903,0.1164,0.22118,0.99802,1.12901,0.75728,0.70815,0.80903,15,15,38,0.97482249,DNA-directed RNA polymerases I and III subunit RPAC2 OS=Mus musculus OX=10090 GN=Polr1d PE=1 SV=1 
P,D3YV30,0.92898,0.60701,0.11396,0.02314,1.1548,1.1501,0.94626,0.92898,0.60701,4,4,9,1.1632816,G-rich sequence factor 1 (Fragment) OS=Mus musculus OX=10090 GN=Grsf1 PE=1 SV=1 
P,P35550,0.55356,0.45308,NA,NA,0.92946,2.15866,3.36767,0.55356,0.45308,69,69,277,1.626337888,rRNA 2'-O-methyltransferase fibrillarin OS=Mus musculus OX=10090 GN=Fbl PE=1 SV=2 
P,A2AU61,0.42565,0.72727,NA,NA,0.81141,1.49271,0.63331,0.42565,0.72727,50,50,116,0.844432154,RNA-binding protein Raly (Fragment) OS=Mus musculus OX=10090 GN=Raly PE=1 SV=1 
P,A0A087WS74,0.60953,0.65186,0.19964,0.28237,0.97708,1.29613,0.79224,0.60953,0.65186,62,62,300,1.047004397,TAR DNA-binding protein 43 (Fragment) OS=Mus musculus OX=10090 GN=Tardbp PE=1 SV=1 
P,A0A0G2JED9,0.63602,0.50738,0.41079,0.34531,0.93367,1.30992,1.00635,0.63602,0.50738,20,20,43,1.084077794,Ras-related protein Rap-1A (Fragment) OS=Mus musculus OX=10090 GN=Rap1a PE=1 SV=1 
P,Q8VHX6,0.59525,0.81804,NA,NA,0.87173,1.5013,0.74757,0.59525,0.81804,459,459,1258,1.060290814,Filamin-C OS=Mus musculus OX=10090 GN=Flnc PE=1 SV=3 
P,E9Q7G0,0.59795,0.61741,NA,NA,1.01559,1.36352,0.94622,0.59795,0.61741,285,285,626,1.116127688,Nuclear mitotic apparatus protein 1 OS=Mus musculus OX=10090 GN=Numa1 PE=1 SV=1 
P,Q8R0G9,0.6122,1.0436,NA,NA,0.78891,1.4501,0.69186,0.6122,1.0436,169,169,375,0.826955948,Nuclear pore complex protein Nup133 OS=Mus musculus OX=10090 GN=Nup133 PE=1 SV=2 
P,Q99KJ8,0.66623,0.61003,NA,NA,1.15924,1.53351,0.92813,0.66623,0.61003,39,39,79,1.344256344,Dynactin subunit 2 OS=Mus musculus OX=10090 GN=Dctn2 PE=1 SV=3 
P,Q3V328,0.69265,0.74688,0.13688,0.25629,1.00065,1.16394,0.7631,0.69265,0.74688,20,20,29,0.951932054,Polypyrimidine tract-binding protein 2 OS=Mus musculus OX=10090 GN=Ptbp2 PE=1 SV=1 
P,Q91V41,0.44599,0.4272,NA,NA,1.08412,2.81579,1.10208,0.44599,0.4272,18,18,27,1.16250402,Ras-related protein Rab-14 OS=Mus musculus OX=10090 GN=Rab14 PE=1 SV=3 
P,F6VSP0,0.6844,0.74546,0.20334,0.18171,0.94853,1.14278,0.80938,0.6844,0.74546,16,16,31,0.91566933,Ubiquitin carboxyl-terminal hydrolase 48 (Fragment) OS=Mus musculus OX=10090 GN=Usp48 PE=1 SV=1 
P,A0A0A0MQM0,0.71204,0.8094,NA,NA,0.94585,1.8239,0.82643,0.71204,0.8094,55,55,164,0.9441972,Eukaryotic translation initiation factor 5A (Fragment) OS=Mus musculus OX=10090 GN=Eif5a PE=1 SV=1 
P,A0A1Y7VLG4,0.40106,0.7069,0.12441,0.23765,0.81584,1.19359,0.47694,0.40106,0.7069,16,16,37,0.829932367,Rab GDP dissociation inhibitor (Fragment) OS=Mus musculus OX=10090 GN=Gdi2 PE=1 SV=1 
P,D6REI7,0.74789,1.09171,0.00784,0.06346,0.82281,1.16373,0.74851,0.74789,1.09171,3,3,7,0.905181833,RNA 3'-terminal phosphate cyclase OS=Mus musculus OX=10090 GN=Rtca PE=1 SV=1 
P,Q91YR7,0.68341,0.70579,NA,NA,0.9872,1.81741,0.90067,0.68341,0.70579,140,140,307,1.234811764,Pre-mRNA-processing factor 6 OS=Mus musculus OX=10090 GN=Prpf6 PE=1 SV=1 
P,B1AXY1,0.63649,0.74466,NA,NA,0.88819,1.83345,0.76486,0.63649,0.74466,36,36,77,1.406586045,DnaJ homolog subfamily A member 1 (Fragment) OS=Mus musculus OX=10090 GN=Dnaja1 PE=1 SV=1 
P,D3YWI1,0.72181,0.80655,NA,NA,0.95254,1.24613,0.86825,0.72181,0.80655,39,39,84,0.933233126,Fructose-bisphosphate aldolase (Fragment) OS=Mus musculus OX=10090 GN=Aldoa PE=1 SV=8 
P,A2A6G8,0.70497,0.79295,0.18711,0.31275,0.91873,1.22886,0.79605,0.70497,0.79295,25,25,54,0.981374104,LIM and SH3 domain protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Lasp1 PE=1 SV=1 
P,A2A6G7,0.70497,0.79295,0.18711,0.31275,0.91873,1.22886,0.79605,0.70497,0.79295,25,25,54,0.981374104,LIM and SH3 domain protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Lasp1 PE=1 SV=8 
P,B7ZC27,0.59536,0.89458,NA,NA,0.8521,1.57178,0.72307,0.59536,0.89458,175,175,378,1.061876359,Pre-mRNA-processing-splicing factor 8 (Fragment) OS=Mus musculus OX=10090 GN=Prpf8 PE=1 SV=1 
P,P17427,0.73863,0.59209,NA,NA,1.13425,1.67949,0.99932,0.73863,0.59209,151,151,464,1.914905956,AP-2 complex subunit alpha-2 OS=Mus musculus OX=10090 GN=Ap2a2 PE=1 SV=2 
P,O35286,0.61415,0.82749,NA,NA,0.94629,1.61342,0.81822,0.61415,0.82749,142,142,475,1.013430502,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Mus musculus OX=10090 GN=Dhx15 PE=1 SV=2 
P,A0A0R4J2C3,0.47671,0.90792,NA,NA,0.76897,1.42563,0.65299,0.47671,0.90792,65,65,177,0.760350695,ATP-dependent RNA helicase A OS=Mus musculus OX=10090 GN=Dhx9 PE=1 SV=1 
P,Q8R2U0,0.51924,0.79626,NA,NA,0.78891,1.26157,0.62815,0.51924,0.79626,52,52,126,0.813164553,Nucleoporin SEH1 OS=Mus musculus OX=10090 GN=Seh1l PE=2 SV=1 
P,E9Q880,0.51221,0.80094,0.24736,0.51625,0.82319,1.26855,0.71161,0.51221,0.80094,56,56,134,0.822922847,Nucleoporin 205 OS=Mus musculus OX=10090 GN=Nup205 PE=1 SV=1 
P,Q8VBV7,1.20729,0.45212,NA,NA,1.06853,3.37309,1.66443,1.20729,0.45212,15,15,26,4.829456452,COP9 signalosome complex subunit 8 OS=Mus musculus OX=10090 GN=Cops8 PE=1 SV=1 
P,A0A1Y7VLK0,0.58137,0.64765,NA,NA,0.9858,1.47153,0.87975,0.58137,0.64765,31,31,63,0.996978616,Peptidylprolyl isomerase OS=Mus musculus OX=10090 GN=Fkbp3 PE=1 SV=1 
P,A0A1L1SUV0,0.46276,0.51515,NA,NA,0.99401,1.31228,0.8588,0.46276,0.51515,26,26,80,1.063983604,Pyruvate kinase PKM (Fragment) OS=Mus musculus OX=10090 GN=Pkm PE=1 SV=1 
P,D6RE43,0.87032,0.69228,0.31822,0.18205,1.0985,1.28658,0.93962,0.87032,0.69228,8,8,27,1.206489189,60S ribosomal protein L10a OS=Mus musculus OX=10090 GN=Rpl10a PE=1 SV=1 
P,A0A3B2WCA5,0.87032,0.69228,0.31822,0.18205,1.0985,1.28658,0.93962,0.87032,0.69228,8,8,27,1.206489189,60S ribosomal protein L10a OS=Mus musculus OX=10090 GN=Rpl10a PE=4 SV=1 
P,A0A1W2P830,0.62485,0.31784,0.23142,0.23494,1.25324,2.32366,0.7624,0.62485,0.31784,11,11,14,2.653447864,Signal recognition particle receptor subunit beta (Fragment) OS=Mus musculus OX=10090 GN=Srprb PE=4 SV=1 
P,Q3UH59,0.56826,0.60307,NA,NA,0.98376,1.5705,0.83673,0.56826,0.60307,426,426,1143,1.25561426,Myosin-10 OS=Mus musculus OX=10090 GN=Myh10 PE=1 SV=1 
P,Q61879,0.56826,0.60307,�,�,0.98376,1.5705,0.83673,0.56826,0.60307,426,426,1143,1.25561426,Myosin-10 OS=Mus musculus OX=10090 GN=Myh10 PE=1 SV=2 
P,A0A0J9YUZ4,0.41944,0.48522,NA,NA,1.05357,1.7198,0.63305,0.41944,0.48522,100,100,330,1.05049946,High mobility group protein B1 (Fragment) OS=Mus musculus OX=10090 GN=Hmgb1 PE=1 SV=1 
P,S4R2U0,0.44187,0.48875,NA,NA,1.04064,1.50574,0.75723,0.44187,0.48875,186,186,544,1.243872878,Tropomyosin alpha-1 chain OS=Mus musculus OX=10090 GN=Tpm1 PE=1 SV=1 
P,A2AEY0,0.59528,0.74246,NA,NA,0.88912,1.1854,0.36472,0.59528,0.74246,17,17,36,0.916087794,Four and a half LIM domains protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Fhl1 PE=1 SV=1 
P,P97329,0.68321,0.67531,NA,NA,0.97061,1.40264,0.96901,0.68321,0.67531,95,95,206,1.10234606,Kinesin-like protein KIF20A OS=Mus musculus OX=10090 GN=Kif20a PE=1 SV=1 
P,Q8C4J7,0.67047,0.91904,NA,NA,0.87003,1.27291,0.80811,0.67047,0.91904,86,86,191,0.930456891,Transducin beta-like protein 3 OS=Mus musculus OX=10090 GN=Tbl3 PE=2 SV=1 
P,Q9D0F6,0.62673,0.78463,NA,NA,0.91216,1.3374,0.74858,0.62673,0.78463,50,50,136,0.93371787,Replication factor C subunit 5 OS=Mus musculus OX=10090 GN=Rfc5 PE=1 SV=1 
P,A0A1W2P6R7,0.71126,0.61246,0.09803,0.15444,1.23585,1.1165,0.73702,0.71126,0.61246,8,8,18,1.178106122,Sec1 family domain-containing protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Scfd1 PE=1 SV=1 
P,A0A0G2JG10,0.62554,0.80611,NA,NA,0.96422,1.70863,0.84911,0.62554,0.80611,109,109,382,1.04772805,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Mus musculus OX=10090 GN=Dhx15 PE=1 SV=1 
P,A2AJG0,0.68833,0.54129,NA,NA,1.06798,1.49148,0.9439,0.68833,0.54129,20,20,56,1.22644277,Ribonuclease P protein subunit p38 OS=Mus musculus OX=10090 GN=Rpp38 PE=1 SV=1 
P,P12970,0.38211,0.39068,NA,NA,1.11803,1.4078,0.86797,0.38211,0.39068,128,128,475,1.276413707,60S ribosomal protein L7a OS=Mus musculus OX=10090 GN=Rpl7a PE=1 SV=2 
P,F6ZX84,0.62109,0.59778,NA,NA,1.03658,1.55484,0.92573,0.62109,0.59778,41,41,80,1.373532302,Cytoplasmic dynein 1 heavy chain 1 (Fragment) OS=Mus musculus OX=10090 GN=Dync1h1 PE=1 SV=1 
P,A0A1L1SUB2,0.44473,0.72544,NA,NA,0.82446,1.12851,0.67631,0.44473,0.72544,30,30,73,0.825789672,Calponin (Fragment) OS=Mus musculus OX=10090 GN=Cnn1 PE=1 SV=1 
P,F6QIL6,0.65169,0.81054,NA,NA,1.0099,1.50918,0.77317,0.65169,0.81054,22,22,38,1.186578255,DnaJ homolog subfamily C member 8 (Fragment) OS=Mus musculus OX=10090 GN=Dnajc8 PE=1 SV=1 
P,D3Z1M8,0.74458,1.26197,0.09139,0.14576,0.8027,1.03462,0.74978,0.74458,1.26197,4,4,10,0.806870653,Protein polybromo-1 (Fragment) OS=Mus musculus OX=10090 GN=Pbrm1 PE=1 SV=1 
P,D3YYG4,0.74458,1.26197,0.09139,0.14576,0.8027,1.03462,0.74978,0.74458,1.26197,4,4,10,0.806870653,Protein polybromo-1 (Fragment) OS=Mus musculus OX=10090 GN=Pbrm1 PE=1 SV=1 
P,Q9JJI8,0.85863,0.74668,NA,NA,1.10387,1.59344,2.11975,0.85863,0.74668,27,27,120,1.471075674,60S ribosomal protein L38 OS=Mus musculus OX=10090 GN=Rpl38 PE=1 SV=3 
P,A0A0A6YX34,0.85258,0.77162,0.00218,0.00095,0.86336,1.04021,0.85259,0.85258,0.77162,4,4,15,0.863859456,Integrator complex subunit 7 OS=Mus musculus OX=10090 GN=Ints7 PE=1 SV=1 
P,A0A0A6YWX4,0.85258,0.77162,0.00218,0.00095,0.86336,1.04021,0.85259,0.85258,0.77162,4,4,15,0.863859456,Integrator complex subunit 7 OS=Mus musculus OX=10090 GN=Ints7 PE=1 SV=1 
